시설명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,전화번호,설치년도,설치목적,데이터기준일자,제공기관코드,제공기관명
길정천 배수펌프장,인천광역시,강화군,,인천광역시 강화군 길상면 선두리 1210-1,37.6043242372,126.4772713996,,,농경지 침수 예방,2025-03-01,3570000,인천광역시 강화군
구산배수펌프장,경기도,고양시,경기도 고양시 일산서구 이산포길 664,경기도 고양시 일산서구 구산동 672-8,37.6952852767,126.6831066709,031-8075-3026,1990,침수방지,2025-03-07,3940000,경기도 고양시
송포배수펌프장,경기도,고양시,경기도 고양시 일산서구 이산포길 132,경기도 고양시 일산서구 법곳동 1563,37.6623198072,126.7147388129,031-8075-3029,2001,침수방지,2025-03-07,3940000,경기도 고양시
"대화1,2배수펌프장",경기도,고양시,경기도 고양시 일산서구 멱절길 72,경기도 고양시 일산서구 법곳동 740-11,37.65730766,126.7306428,031-8075-3027,2015,침수방지,2025-03-07,3940000,경기도 고양시
"신평1,2배수펌프장",경기도,고양시,경기도 고양시 덕양구 신평길 107,경기도 고양시 덕양구 신평동 25-2,37.6218636941,126.7943553563,031-8075-3030,2019,침수방지,2025-03-07,3940000,경기도 고양시
강매배수펌프장,경기도,고양시,경기도 고양시 덕양구 강매로 103,경기도 고양시 덕양구 강매동 290-2,37.5982325452,126.8429051748,031-8075-3025,2000,침수방지,2025-03-07,3940000,경기도 고양시
현천배수펌프장,경기도,고양시,경기도 고양시 덕양구 해포길 170,경기도 고양시 덕양구 현천동 534-1,37.5984616250,126.8493498487,031-8075-3031,1998,침수방지,2025-03-07,3940000,경기도 고양시
도내배수펌프장,경기도,고양시,경기도 고양시 덕양구 중앙로 299-36,경기도 고양시 덕양구 도내동 916,37.6099241530,126.8570170710,031-8075-3028,1998,침수방지,2025-03-07,3940000,경기도 고양시
행신배수펌프장,경기도,고양시,경기도 고양시 덕양구 서정마을로 12,경기도 고양시 덕양구 행신동 1072,37.6180140350,126.8478313965,031-8075-3032,2007,침수방지,2025-03-07,3940000,경기도 고양시
장림1배수펌프장,부산광역시,사하구,부산광역시 사하구 하신중앙로53번길 65,부산광역시 사하구 신평동 659-4,35.08207117,128.9573024,051-220-5475,1998,강우시 침수방지,2024-11-21,3340000,부산광역시 사하구
장림2배수펌프장,부산광역시,사하구,부산광역시 사하구 을숙도대로480번길 40,부산광역시 사하구 신평동 659-4,35.08207117,128.9573024,051-220-5476,1988,강우시 침수방지,2024-11-21,3340000,부산광역시 사하구
하단1배수펌프장,부산광역시,사하구,부산광역시 사하구 하신번영로 243,부산광역시 사하구 하단동 1173,35.103266,128.956762,051-220-5477,1988,강우시 침수방지,2024-11-21,3340000,부산광역시 사하구
하단2배수펌프장,부산광역시,사하구,부산광역시 사하구 하단로 1163,부산광역시 사하구 하단동 1163,35.10642006,128.9574228,051-220-5477,2018,강우시 침수방지,2024-11-21,3340000,부산광역시 사하구
동해량배수장,경상남도,하동군,경상남도 하동군 하동읍 오룡정길 13,경상남도 하동군 하동읍 읍내리 1563-8,35.07088135,127.740924,055-880-2966,2018,도심형방재,2024-11-14,5440000,경상남도 하동군
광평배수장,경상남도,하동군,경상남도 하동군 하동읍 경서대로 70,경상남도 하동군 하동읍 광평리 425-2,35.063907,127.7447459,055-880-2966,2010,도심형방재,2024-11-14,5440000,경상남도 하동군
월평배수펌프장,경상남도,진주시,경상남도 진주시 집현면 불너머길 16-8,경상남도 진주시 집현면 장흥리 697-1,35.23334826,128.1028813,055-749-8003,2003,침수 재난방지,2024-12-13,5310000,경상남도 진주시
삭평배수펌프장,경상남도,진주시,,경상남도 진주시 명석면 관지리 215-1번지,35.2211594,128.0421226,055-749-8003,2008,침수 재난방지,2024-12-13,5310000,경상남도 진주시
가방배수펌프장,경상남도,진주시,경상남도 진주시 금산면 덕의길 171-132,경상남도 진주시 금산면 가방리 1214,35.23423997,128.1470991,055-749-8003,2009,침수 재난방지,2024-12-13,5310000,경상남도 진주시
덕천강배수펌프장,경상남도,진주시,경상남도 진주시 수곡면 곤수로 452-43,경상남도 진주시 수곡면 원내리 865-51,35.160159,127.9622119,055-749-8003,2004,침수 재난방지,2024-12-13,5310000,경상남도 진주시
상대배수펌프장,경상남도,진주시,,경상남도 진주시 상평동 271-4번지,35.17780981,128.1009588,055-749-8003,2013,침수 재난방지,2024-12-13,5310000,경상남도 진주시
향양 배수펌프장,경상남도,진주시,,경상남도 진주시 집현면 덕오리 576-7번지,35.25840599,128.1215784,055-749-8003,2019,침수 재난방지,2024-12-13,5310000,경상남도 진주시
풍덕1 배수펌프장,전라남도,순천시,전라남도 순천시 동천저류지길 37,전라남도 순천시 풍덕동 1789,34.9376290854,127.4984446345,061-749-6726,2013,침수예방,2024-11-26,4820000,전라남도 순천시
풍덕2 배수펌프장,전라남도,순천시,전라남도 순천시 평촌길 75,전라남도 순천시 풍덕동 325-7,34.9370276168,127.5080389522,061-749-6726,1991,침수예방,2024-11-26,4820000,전라남도 순천시
구암 배수펌프장,전라남도,순천시,,전라남도 순천시 연향동 421-19,34.9429596815,127.5119735219,061-749-6726,2001,침수예방,2024-11-26,4820000,전라남도 순천시
해룡천 배수펌프장,전라남도,순천시,전라남도 순천시 생태배움길 116,전라남도 순천시 풍덕동 361-1,34.9219130189,127.5152863269,061-749-6726,2005,침수예방,2024-11-26,4820000,전라남도 순천시
공릉1빗물펌프장,서울특별시,노원구,,서울특별시 노원구 공릉동 687-8,37.61692018,127.0741241,02-2116-4198,2002,수해방지,2025-01-10,3100000,서울특별시 노원구
공릉2빗물펌프장,서울특별시,노원구,,서울특별시 노원구 공릉동 406-1,37.62432325,127.0705705,02-2116-4196,2016,수해방지,2025-01-10,3100000,서울특별시 노원구
신기배수장1,경상남도,하동군,경상남도 하동군하동읍 군청로 185-1,경상남도 하동군 하동읍 신기리 418-5,35.05981045,127.765813,055-880-2966,1983,도심형방재,2024-11-14,5440000,경상남도 하동군
신기배수장2,경상남도,하동군,경상남도 하동군하동읍 군청로 185-1,경상남도 하동군 하동읍 신기리 418-5,35.05981045,127.765813,055-880-2966,2010,도심형방재,2024-11-14,5440000,경상남도 하동군
중앙배수장,경상남도,하동군,,경상남도 하동군하동읍 읍내리 127-26,35.069392,127.752231,055-880-2966,2013,도심형방재,2024-11-14,5440000,경상남도 하동군
진교배수장,경상남도,하동군,경상남도 하동군 진교면 경충로 1015,경상남도 하동군진교면 진교리 302-153,35.024778,127.9063809,055-880-2966,2002,도심형방재,2024-11-14,5440000,경상남도 하동군
계천배수장,경상남도,하동군,,경상남도 하동군고전면 대덕리 734,35.00134786,127.8117116,055-880-2966,2005,도심형방재,2024-11-14,5440000,경상남도 하동군
고하배수장,경상남도,하동군,경상남도 하동군 고전면 홍평길 13,경상남도 하동군고전면 고하리 713,35.020693,127.8306433200,055-880-2966,2021,도심형방재,2024-11-14,5440000,경상남도 하동군
서금사배수펌프장,부산광역시,금정구,부산광역시 금정구 공단동로 16 (금사동),부산광역시 금정구 금사동 545-19,35.21849493,129.1173176,051-519-4678,2019,배수펌프용,2024-10-25,3350000,부산광역시 금정구
난지빗물펌프장,서울특별시,마포구,서울특별시 마포구 가양대로1길,서울특별시 마포구 상암동 1566-1,37.57703833,126.864396,02-3153-6248,1993,침수방지,2024-10-01,3130000,서울특별시 마포구
성산빗물펌프장,서울특별시,마포구,서울특별시 마포구 성중길 82,서울특별시 마포구 성산동 445,37.57359668,126.9009891,02-3153-6242,1985,침수방지,2024-10-01,3130000,서울특별시 마포구
중동빗물펌프장,서울특별시,마포구,서울특별시 마포구 모래내로 84,서울특별시 마포구 성산동 99-5,37.56608123,126.9124963,02-3153-6244,1993,침수방지,2024-10-01,3130000,서울특별시 마포구
망원1빗물펌프장,서울특별시,마포구,서울특별시 마포구 방울내로 11길 198,서울특별시 마포구 망원동 450-3,37.559049,126.8961397,02-3153-6240,1973,침수방지,2024-10-01,3130000,서울특별시 마포구
망원2빗물펌프장,서울특별시,마포구,서울특별시 마포구 동교로 7,서울특별시 마포구 망원동 211-42,37.55171459,126.9028761,02-3153-6246,1990,침수방지,2024-10-01,3130000,서울특별시 마포구
합정빗물펌프장,서울특별시,마포구,서울특별시 마포구 토정로 8-11,서울특별시 마포구 합정동 94-3,37.54536129,126.9119628,02-3153-6243,1986,침수방지,2024-10-01,3130000,서울특별시 마포구
당인빗물펌프장,서울특별시,마포구,서울특별시 마포구 토정로4길 55-9,서울특별시 마포구 당인동 1-10,37.54325743,126.9167522,02-3153-6245,1993,침수방지,2024-10-01,3130000,서울특별시 마포구
상수빗물펌프장,서울특별시,마포구,서울특별시 마포구 토정로 148-22,서울특별시 마포구 상수동 282,37.54472945,126.9270446,02-3153-6247,1986,침수방지,2024-10-01,3130000,서울특별시 마포구
봉원빗물펌프장,서울특별시,마포구,서울특별시 마포구 창전로 10,서울특별시 마포구 신정동 145-7,37.54385131,126.9300306,02-3153-6249,1993,침수방지,2024-10-01,3130000,서울특별시 마포구
마포빗물펌프장,서울특별시,마포구,서울특별시 마포구 마포대로1길 19,서울특별시 마포구 마포동 36-1,37.53889096,126.9435029,02-3153-6241,1979,침수방지,2024-10-01,3130000,서울특별시 마포구
생연1배수장,경기도,동두천시,경기도 동두천시 강변로 364-13,경기도 동두천시 생연동 807-1,37.9013795931,127.0484267435,,2014,도시침수방지,2024-08-30,3920000,경기도 동두천시
생연2배수장,경기도,동두천시,경기도 동두천시 삼육사로 890,경기도 동두천시 생연동 795-1,37.9002557459,127.0488838741,,2014,도시침수방지,2024-08-30,3920000,경기도 동두천시
